ID,building_visited,choice,Speed,Laziness,Destination floor,Fatigue,Luggage,Elevator speed,"Environmental
consciousness",Temperature,Appeal,"Number of people
waiting for the elevator",Peers,measurement_no,Health
YwN8Le27d,BTK 6-8 főépület,1,8,2,9,6,9,3,7,5,9,5,no_peers,11,8
rYVMmPkB5,Lágymányos Északi Tömb,1,6,2,0,5,1,2,3,7,2,0,NA,11,2
lK4doLjXX,PPK Kazinczy utca,1,4,3,1,4,1,7,10,7,0,2,no_peers,11,7
RDDA6xVaK,Lágymányos Déli Tömb,1,7,3,2,4,6,6,3,2,2,6,no_peers,11,2
D2DxLQ0kE,"BGGYK A, B épület",1,1,0,0,0,0,4,2,1,0,0,NA,11,3
5Nm1NPqmJ,Lágymányos Északi Tömb,1,1,1,1,3,2,5,6,3,4,2,peers_stairs,11,6
1mP6xRWQm,TÓK,0,10,0,9,0,0,6,3,0,2,0,peers_stairs,11,7
w6kjMDq1Z,PPK Izabella utca,1,6,2,5,8,2,6,8,4,4,6,NA,11,7
w6yn3qMv8,TÓK,1,8,3,1,10,0,0,10,0,10,0,peers_elevator,11,8
e4lNq4K7D,Lágymányos Déli Tömb,1,4,6,2,6,2,0,5,5,7,10,no_peers,11,8
aEJL5DXGn,Lágymányos Északi Tömb,0,3,7,7,6,7,3,6,8,9,3,peers_elevator,11,7
xX7r8YWYq,PPK Izabella utca,0,0,7,10,6,3,10,1,6,3,0,no_peers,11,0
Gnv0B32mq,Lágymányos Északi Tömb,1,0,0,0,2,0,0,1,0,3,4,peers_stairs,11,2
Vk27byM3N,Egyéb:,1,0,0,0,0,10,5,5,5,5,0,NA,11,5
Zw6Pxn5EZ,Lágymányos Déli Tömb,0,0,10,2,6,5,7,0,6,0,0,no_peers,11,5
m526yXraM,Lágymányos Déli Tömb,1,0,2,0,2,0,0,2,0,1,0,peers_stairs,11,1
BvAqRAqp4,BTK Rákóczi utca 5 (R5),0,0,10,10,10,0,8,0,0,0,0,peers_elevator,11,0
rY7qaP4vW,Lágymányos Északi Tömb,0,2,3,8,2,4,7,4,3,2,4,peers_elevator,11,2
E81lQnPVA,TÓK,1,4,1,2,0,2,5,10,6,10,3,no_peers,11,10
JNPj0ZEKQ,BTK F épület,1,7,2,4,6,5,2,2,5,0,0,peers_stairs,11,3
yeK863Lw3,BTK I épület,1,9,3,1,4,1,5,8,7,8,2,peers_stairs,11,4
BvXR1GVya,PPK Izabella utca,1,7,3,5,3,2,7,1,5,2,1,no_peers,11,2
w6ooN1yQp,BTK 6-8 főépület,1,8,0,8,0,0,5,10,0,0,0,NA,11,7
Yw6bl88By,BTK 6-8 főépület,1,1,1,0,1,5,10,8,0,10,0,no_peers,11,7
P0YDv72nD,Lágymányos Északi Tömb,0,0,6,8,7,0,5,0,0,0,0,peers_elevator,11,0
MBoAwjrrP,BTK Rákóczi utca 5 (R5),0,5,7,10,9,8,9,5,3,2,2,no_peers,11,1
rY7qaP4vW,Lágymányos Északi Tömb,0,2,2,4,2,3,5,2,3,2,3,peers_elevator,11,1
JN4lDolMx,Lágymányos Déli Tömb,0,2,5,10,10,6,2,1,7,0,2,no_peers,11,1
7Vp0GlDwo,Lágymányos Északi Tömb,1,8,1,3,6,0,3,7,4,2,10,no_peers,11,3
8xGMlw33a,Lágymányos Déli Tömb,0,10,7,10,8,2,2,0,0,7,10,peers_elevator,11,2
D2aop6KMr,"BGGYK A, B épület",1,3,0,2,3,0,2,7,4,1,1,no_peers,11,8
lKMmZ300L,Lágymányos Déli Tömb,1,0,0,3,1,1,4,2,2,3,3,NA,11,4
jbEqaNnER,BTK C épület,1,3,4,7,5,3,1,4,3,8,2,no_peers,11,3
28lJ3lKlM,TÓK,1,8,1,8,1,1,1,7,7,10,10,peers_stairs,11,8
YwPMxE0eJ,BTK 6-8 főépület,1,0,0,6,0,0,7,9,1,5,0,no_peers,11,9
ZwGdvB3m8,Lágymányos Északi Tömb,0,4,6,8,5,2,6,3,3,3,6,peers_elevator,11,2
282Ld2GPr,Lágymányos Északi Tömb,1,10,0,0,5,0,5,10,8,0,0,no_peers,11,6
LEQAqkdJl,Lágymányos Déli Tömb,1,6,1,3,6,0,5,8,2,9,5,NA,11,10
pvvWlbeL6,TÓK,0,5,9,10,9,7,2,3,7,5,2,no_peers,11,2
YwVQrpWxd,TÓK,1,4,4,7,6,2,2,6,0,7,0,peers_stairs,11,7
bER8nWXXN,Lágymányos Északi Tömb,1,9,0,3,8,0,7,8,0,0,0,NA,11,0
Q3QqdweDR,Egyéb:,1,0,0,3,7,0,0,10,5,10,0,no_peers,11,7
P0PRd5jd8,Lágymányos Déli Tömb,0,8,9,5,2,0,5,0,0,0,3,peers_elevator,11,0
4NBJ8qn3D,BTK D épület,1,7,2,4,7,4,5,10,2,6,1,no_peers,11,7
jbVbNon1Z,"BGGYK A, B épület",1,0,0,7,3,1,2,0,7,0,0,no_peers,11,10
m5pkPpbmM,PPK Izabella utca,0,5,3,10,7,2,10,0,3,0,1,peers_elevator,11,0
jbKmkalmL,TÓK,0,6,2,8,2,0,5,2,0,2,0,peers_elevator,11,0
Vk6DR86Ao,BTK Rákóczi utca 5 (R5),1,0,0,2,2,0,10,2,0,3,0,peers_stairs,11,7
xXB3oZMl2,Lágymányos Északi Tömb,1,4,0,0,5,3,10,10,0,0,0,peers_stairs,11,8
E8nGxeWA8,BTK F épület,1,0,0,0,8,0,0,8,3,4,0,no_peers,11,9
yelJjBDG8,BTK Rákóczi utca 5 (R5),1,0,0,7,2,0,5,10,0,5,0,no_peers,11,10
m5Y26B3kX,Egyéb:,1,1,4,1,3,2,0,10,0,10,0,no_peers,11,10
4NxpGMjyB,Lágymányos Déli Tömb,1,0,0,0,0,0,5,0,0,0,0,no_peers,11,0
28Lqwa1rn,PPK Kazinczy utca,1,9,10,0,6,0,6,10,0,4,8,no_peers,11,9
or41BGrbM,BTK Rákóczi utca 5 (R5),0,10,0,10,5,0,9,0,0,3,3,no_peers,11,0
Bv8NRZkra,Lágymányos Déli Tömb,1,0,0,1,2,0,6,0,0,2,0,no_peers,11,0
w6ZWYPedN,Lágymányos Északi Tömb,0,10,3,10,7,2,5,5,4,5,3,no_peers,11,1
jbVvE7j64,BTK D épület,0,9,8,1,8,1,9,1,1,2,0,no_peers,11,1
E8X7JoZDQ,BTK D épület,1,10,2,7,8,0,0,7,8,10,0,no_peers,11,2
VkVmr1ZZb,BTK Rákóczi utca 5 (R5),0,7,0,9,3,0,6,1,0,5,3,no_peers,11,1
8xPwKkaBm,BTK Rákóczi utca 5 (R5),1,4,3,3,7,6,7,8,6,6,4,no_peers,11,8
WEoLKkAL2,PPK Izabella utca,0,10,0,10,0,0,5,0,0,0,0,peers_elevator,11,0
AnpBjMPQZ,TÓK,1,2,2,3,3,3,1,2,2,2,1,peers_stairs,11,6
D2ERX43vj,TÓK,1,3,5,3,5,3,3,4,2,2,3,no_peers,11,5
YwKpYK80X,Lágymányos Északi Tömb,1,9,3,1,3,1,1,1,1,5,1,no_peers,11,1
e4rRxYm16,"BGGYK A, B épület",1,2,7,9,9,1,5,2,8,3,0,NA,11,9
qNrP7ryDP,Lágymányos Déli Tömb,1,3,3,5,4,0,6,3,1,3,1,peers_stairs,11,0
MBele2400,BTK D épület,1,10,0,10,10,10,10,10,10,10,10,peers_stairs,11,10
8xmovNvYm,Lágymányos Északi Tömb,0,8,7,10,6,6,8,2,2,2,0,no_peers,11,3
GnyoV5Aaq,Lágymányos Déli Tömb,0,8,3,9,3,2,4,2,2,2,1,no_peers,11,1
or7VGVJaM,BTK Rákóczi utca 5 (R5),0,4,7,10,10,4,7,0,7,0,4,NA,11,0
D2WnaqvL8,PPK Kazinczy utca,1,1,1,3,4,4,5,5,6,6,1,no_peers,11,5
LEYNRMbAj,BTK 6-8 főépület,0,10,0,10,5,0,10,0,0,7,0,peers_elevator,11,0
E88D0ZvRQ,PPK Kazinczy utca,1,2,0,4,3,1,6,4,0,6,4,peers_stairs,11,3
bEmqb6KLw,"BGGYK A, B épület",1,10,5,8,7,8,7,10,6,2,1,no_peers,11,10
rYLL1YWq7,BGGYK C épület,1,5,3,1,2,1,5,7,1,1,5,peers_elevator,11,1
aEJL5DXGn,Lágymányos Északi Tömb,0,3,8,8,3,3,3,7,4,9,1,peers_elevator,11,5
YwG8ZX6q5,PPK Izabella utca,1,0,0,3,2,1,4,6,5,5,4,no_peers,11,5
JN1b7KJqv,PPK Kazinczy utca,0,0,6,8,8,0,8,2,0,3,0,peers_elevator,11,0
VkkQwL31x,BTK D épület,1,7,7,5,6,1,7,3,9,6,2,peers_stairs,11,6
4Ny7KWnyV,TÓK,0,10,8,10,10,10,10,0,6,0,2,peers_elevator,11,4
P003QV7lp,BTK 6-8 főépület,1,5,6,1,7,3,5,4,3,7,3,peers_stairs,11,5
RD3LdqvPK,Lágymányos Északi Tömb,1,5,2,1,6,3,6,2,6,7,4,peers_elevator,11,2
WEM87G35B,Lágymányos Északi Tömb,0,10,10,0,10,0,10,0,0,0,0,peers_stairs,11,0
1mNQynKVM,PPK Izabella utca,0,10,1,6,9,9,6,2,2,7,1,no_peers,11,2
v0wKAYvAe,BTK Rákóczi utca 5 (R5),0,5,8,9,8,8,4,0,0,2,3,peers_elevator,11,0
4NNrPkM43,Lágymányos Északi Tömb,0,7,1,10,4,8,6,3,0,1,0,no_peers,11,2
AnlRr2B63,Lágymányos Déli Tömb,1,0,1,2,0,0,5,2,5,7,7,no_peers,11,4
w66EQJRyW,BTK 6-8 főépület,1,2,3,5,6,7,3,10,4,7,1,no_peers,11,10
Zw7WLYKGZ,"BGGYK A, B épület",1,8,4,4,8,8,3,5,4,9,0,peers_stairs,11,6
1mm4R4nwY,Lágymányos Északi Tömb,0,9,0,8,2,3,2,0,1,0,0,peers_stairs,11,0
lKK6bvYkB,Lágymányos Északi Tömb,0,10,2,10,2,1,10,0,0,0,0,peers_elevator,11,0
Zwl4wony4,Lágymányos Északi Tömb,1,0,0,1,0,0,7,8,0,0,0,NA,11,5
yeJbexLDj,Lágymányos Északi Tömb,1,5,1,2,3,1,0,10,3,10,3,no_peers,11,5
P0ea4y8VE,Lágymányos Északi Tömb,0,6,8,8,3,0,7,4,0,0,0,no_peers,11,0
7VG48dYjP,BTK Rákóczi utca 5 (R5),0,10,8,10,8,10,5,0,5,2,5,no_peers,11,2
bEN56G2Wk,PPK Kazinczy utca,1,10,0,10,9,0,5,7,7,9,0,peers_stairs,11,10
8xVK1apdZ,BTK Rákóczi utca 5 (R5),1,0,0,2,2,0,5,10,3,3,1,NA,11,10
JNvwRG7QD,TÓK,1,5,0,0,2,3,4,10,3,8,3,peers_stairs,11,10
m5J21qYvm,BTK D épület,1,5,8,10,7,0,7,8,7,5,5,peers_stairs,11,6
P0ABwBmjX,TÓK,1,5,1,9,7,0,4,9,7,6,0,no_peers,11,10
1mJXWJdbK,Egyéb:,0,0,0,10,1,0,8,7,9,0,0,no_peers,11,0
rYoZP6mQ5,BTK Rákóczi utca 5 (R5),0,7,5,8,7,2,5,1,2,1,5,peers_elevator,11,2
RDjZdQ1Y3,PPK Kazinczy utca,1,1,5,1,10,0,5,5,0,0,0,no_peers,11,5
1mpavwVbY,BGGYK C épület,1,0,0,0,0,0,0,1,0,0,0,no_peers,11,1
JN1VM6AVj,PPK Izabella utca,1,2,3,4,8,0,5,10,5,2,0,no_peers,11,5
JN86P5PdD,Lágymányos Déli Tömb,1,5,0,0,0,0,5,0,5,5,0,NA,11,0
xXAoALMN8,Lágymányos Északi Tömb,0,6,1,9,8,9,5,2,2,2,7,no_peers,11,2
RDmRXd2ZG,Lágymányos Déli Tömb,0,5,5,8,7,7,5,2,2,2,2,peers_elevator,11,2
e4yb2ZqJG,Lágymányos Északi Tömb,0,2,4,10,2,2,8,1,0,0,0,NA,11,1
7Vbw1xQMB,PPK Izabella utca,1,10,9,9,5,3,2,2,2,2,0,no_peers,11,10
lKe7ZPaDY,BTK Rákóczi utca 5 (R5),0,9,8,5,4,8,9,4,8,5,4,NA,11,3
qNPeoVq37,Lágymányos Északi Tömb,0,6,3,10,3,1,8,0,4,0,7,peers_elevator,11,1
orw41QoRW,BTK Rákóczi utca 5 (R5),0,10,1,10,8,1,1,7,1,0,0,no_peers,11,0
Q3K2DA0Jr,Lágymányos Déli Tömb,1,6,3,4,8,3,3,2,4,3,6,no_peers,11,2
E8WnW6LnZ,"BGGYK A, B épület",1,0,0,0,10,0,5,10,5,10,0,peers_stairs,11,10
E80yJk3Bk,BTK 6-8 főépület,0,4,7,10,7,3,5,1,0,3,2,peers_elevator,11,2
5NNJLPDxV,PPK Kazinczy utca,1,2,0,7,10,4,1,4,7,7,7,peers_stairs,11,6
nW10b0reX,Lágymányos Északi Tömb,0,8,6,10,7,5,4,2,1,2,3,peers_elevator,11,3
yeQqnbexL,PPK Izabella utca,0,2,7,5,4,2,9,5,5,5,5,no_peers,11,5
m5YBwjjVk,BTK Rákóczi utca 5 (R5),1,9,0,0,5,0,10,10,0,7,0,no_peers,11,0
rYJeYkDkW,BTK I épület,1,4,5,2,5,4,1,5,2,0,0,no_peers,11,2
w60AvJ1YZ,BTK 6-8 főépület,0,3,6,7,7,3,4,2,2,4,3,peers_elevator,11,3
YwPWjpv47,Lágymányos Déli Tömb,1,0,0,1,8,0,8,8,6,5,2,no_peers,11,8
5NWdqeKJJ,Lágymányos Északi Tömb,0,5,0,10,0,3,4,0,0,5,3,peers_elevator,11,0
RDrQGMvwa,PPK Kazinczy utca,1,0,0,1,6,2,5,10,7,5,8,peers_stairs,11,8
jb1XJl1eL,"BGGYK A, B épület",0,10,6,10,8,0,0,0,0,0,0,no_peers,11,0
lKZ1bAMPW,PPK Kazinczy utca,1,0,3,5,4,0,7,8,0,2,0,peers_stairs,11,4
RDaJ813b3,Egyéb:,1,6,3,10,4,9,7,6,4,3,5,no_peers,11,7
e4qYJdW10,Lágymányos Északi Tömb,1,0,0,0,2,1,2,0,0,0,0,peers_stairs,11,1
pvXyj3mJ4,BTK 6-8 főépület,0,10,10,10,10,7,9,0,4,0,0,peers_elevator,11,0
aEVoKx4NB,BTK F épület,1,0,0,0,1,1,2,6,1,4,0,peers_stairs,11,3
288Dq02ko,TÓK,1,9,4,9,9,9,6,8,8,6,4,no_peers,11,8
7Vvnw5DP4,Lágymányos Déli Tömb,1,2,1,1,2,4,6,4,2,2,2,peers_stairs,11,4
aEQ5BDJdB,"BGGYK A, B épület",0,10,0,10,6,0,10,0,0,0,0,no_peers,11,0
pv0vKWrm1,PPK Kazinczy utca,1,0,1,6,2,0,7,0,3,9,7,peers_stairs,11,2
e4EorDvX6,Lágymányos Déli Tömb,0,2,10,10,10,10,0,0,10,0,0,no_peers,11,0
bEZKAedDK,TÓK,1,10,0,10,2,2,0,3,0,3,0,no_peers,11,2
Q38VlxjXX,Lágymányos Déli Tömb,0,5,8,8,9,3,5,0,2,0,2,peers_elevator,11,0
lKoy5DvDX,BTK Rákóczi utca 5 (R5),1,6,6,6,7,0,4,7,7,7,0,no_peers,11,0
7Vk7rKppr,Lágymányos Déli Tömb,1,0,0,0,2,0,2,0,0,0,7,no_peers,11,0
bEZKAedDK,TÓK,1,6,0,6,0,0,0,0,0,3,0,no_peers,11,2
ZwDqq7ave,BTK F épület,1,2,2,1,5,2,6,7,3,7,2,no_peers,11,6
GnVB1ddV7,PPK Kazinczy utca,1,8,0,7,0,5,3,8,3,9,0,no_peers,11,8
e4L5qx1Q6,BTK Rákóczi utca 5 (R5),0,3,6,4,9,3,2,0,2,2,2,peers_elevator,11,1
MBBpAA4oY,BTK F épület,1,0,0,0,0,0,0,0,0,0,0,no_peers,11,2
WEEd17PWM,BTK 6-8 főépület,0,10,10,6,7,2,5,1,0,0,0,NA,11,0
5NvkLX8yl,BTK 6-8 főépület,0,0,3,10,8,3,5,0,10,0,0,no_peers,11,1
YwKWb7yj2,BTK Rákóczi utca 5 (R5),0,10,4,10,3,0,10,3,3,4,10,NA,11,2
YwwNMjxdv,BTK D épület,1,8,2,2,3,3,6,8,5,3,5,peers_stairs,11,8
5Nmbv2LDl,PPK Kazinczy utca,0,6,9,8,8,5,7,9,5,4,0,peers_elevator,11,0
VkQ260p0v,PPK Izabella utca,0,9,3,6,6,2,1,0,4,6,2,peers_elevator,11,0
MB5MqaA2k,Lágymányos Déli Tömb,1,0,8,0,8,0,0,8,0,8,0,no_peers,11,0
e4p24KAK7,Lágymányos Déli Tömb,0,9,4,10,1,0,6,3,0,8,0,peers_elevator,11,2
jbxEPAXZr,PPK Izabella utca,0,3,7,9,7,2,2,2,2,2,5,peers_elevator,11,1
WEDxJX7Mj,Egyéb:,1,10,0,10,10,10,10,0,0,0,10,peers_stairs,11,0
LEaDbwQPM,Lágymányos Északi Tömb,0,10,6,10,5,0,0,0,0,0,10,peers_elevator,11,0
Zwoa85nyG,PPK Izabella utca,1,8,0,9,6,5,5,7,6,7,4,NA,11,5
VkwNNXLXv,BTK 6-8 főépület,1,4,1,3,2,2,3,9,1,5,2,no_peers,11,4
Zwoa85nyG,PPK Izabella utca,1,8,2,9,5,6,5,6,6,7,6,no_peers,11,5
Q3E4jPBMZ,"BGGYK A, B épület",1,7,0,0,0,0,2,0,0,0,8,no_peers,11,0
1mRw2QGkY,Lágymányos Déli Tömb,1,1,2,1,2,1,8,5,6,2,1,peers_stairs,11,8
LE03rGleK,BTK F épület,1,7,2,0,2,0,5,6,3,7,0,peers_stairs,11,5
yeqB2k0Pl,Lágymányos Déli Tömb,0,7,7,9,8,7,5,3,4,3,5,no_peers,11,4
LEbP3GVkb,Lágymányos Északi Tömb,0,10,1,10,5,6,9,3,5,2,3,peers_elevator,11,3
bEEWNpo4Y,BTK Rákóczi utca 5 (R5),0,10,0,10,8,0,7,5,10,0,3,peers_elevator,11,10
v0032QZGe,BTK Rákóczi utca 5 (R5),1,6,0,10,7,2,3,7,0,7,0,peers_stairs,11,7
An5EAD0Yy,BTK Rákóczi utca 5 (R5),1,0,0,10,0,0,10,10,0,0,0,no_peers,11,10
lKrBe21PW,PPK Kazinczy utca,0,10,6,10,6,2,8,3,8,3,0,peers_elevator,11,3
bEXkWjGmk,BTK 6-8 főépület,1,2,0,1,5,2,5,10,0,0,3,no_peers,11,6
5NN6Vk3xL,Lágymányos Déli Tömb,1,10,8,6,5,5,5,6,5,5,3,no_peers,11,6
nWbNVR837,PPK Kazinczy utca,1,0,0,0,0,0,3,0,2,9,5,no_peers,11,10
ZweD46Kn8,PPK Kazinczy utca,1,6,0,2,0,0,0,0,0,0,0,peers_stairs,11,0
m5P6RM18W,PPK Izabella utca,0,7,6,8,6,3,3,2,5,4,2,no_peers,11,3
JNe57ZbWG,Egyéb:,1,2,4,6,8,0,7,10,7,5,0,no_peers,11,10
RD02PnRda,Lágymányos Északi Tömb,0,10,10,6,10,5,0,5,5,2,8,peers_elevator,11,5
P00wpBn38,Lágymányos Északi Tömb,1,3,3,0,8,2,6,7,7,8,9,NA,11,8
7VkM8m0ba,BTK 6-8 főépület,0,10,1,9,1,1,8,0,0,3,1,no_peers,11,1
8xB2q6Mo8,PPK Kazinczy utca,1,0,1,5,7,2,0,8,4,7,9,no_peers,11,7
rYE1N2Nqe,PPK Kazinczy utca,1,2,2,0,4,0,2,7,3,4,3,peers_stairs,11,4
AnyG8G7Ea,Egyéb:,0,9,5,10,7,8,5,4,0,5,6,peers_elevator,11,5
E8BAVb5eB,BTK 6-8 főépület,1,10,4,5,4,3,0,4,2,6,8,no_peers,11,10
bElevE4GA,BTK D épület,0,1,1,3,0,0,6,0,0,0,0,no_peers,11,10
nWwX355wM,Lágymányos Déli Tömb,1,10,6,0,8,8,6,7,0,5,0,no_peers,11,4
RDMRX5GPK,BTK 6-8 főépület,1,0,0,6,3,2,5,6,6,5,3,peers_stairs,11,8
JNamvbDBo,PPK Kazinczy utca,1,1,1,5,1,3,3,7,0,6,0,NA,11,8
28aMG8W3n,BTK Rákóczi utca 5 (R5),0,10,0,2,8,0,10,0,4,0,0,peers_elevator,11,0
lKMdkJZEW,BTK 6-8 főépület,1,0,5,10,10,4,6,5,0,0,0,peers_stairs,11,8
Q3mmZqj7R,BTK D épület,0,4,3,2,6,1,1,0,3,5,4,peers_elevator,11,8
5NrjyvqWL,Lágymányos Déli Tömb,0,0,10,8,7,0,8,5,0,4,0,no_peers,11,2
Q3mmZqj7R,BTK D épület,0,10,5,2,4,1,1,0,4,4,4,peers_elevator,11,0
An40DkxjZ,PPK Izabella utca,0,8,3,7,3,4,4,4,7,5,6,no_peers,11,4
E8B73NbxJ,TÓK,1,4,2,1,1,1,0,0,0,5,1,peers_stairs,11,2
E8B73NbxJ,TÓK,1,3,4,1,1,1,0,0,0,1,7,peers_stairs,11,3
Q3vdE3WBn,PPK Kazinczy utca,1,3,1,7,5,0,10,7,5,2,0,no_peers,11,6
yexVJmDmm,BTK Rákóczi utca 5 (R5),0,7,10,10,9,9,8,0,5,0,2,no_peers,11,0
ye3NVx8V8,Lágymányos Déli Tömb,0,7,10,10,10,0,10,0,3,0,10,NA,11,0
rYbB5AGmW,TÓK,1,7,3,3,7,6,3,7,6,8,5,no_peers,11,6
BvYG4WJ0a,Lágymányos Déli Tömb,0,10,3,10,4,0,9,2,5,0,0,no_peers,11,2
P0J1Mv5EX,"BGGYK A, B épület",1,0,0,0,1,0,8,6,0,5,0,no_peers,11,5
rY3834V85,Lágymányos Déli Tömb,1,9,8,0,2,0,8,0,5,6,0,no_peers,11,0
